|                JD|BandName|         FieldID| spw|      freq|      bw|           peak|              rms|
|            double|    char|            char|long|    double|  double|         double|           double|
|                  |        |                |    |          |        |               |                 |
|              null|    null|            null|null|      null|    null|           null|             null|
  58185.43138087963        Q       J1733-1304    4 46256.9041 128000.0   1.12141156197 0.000882085472962 
  58185.43138087963        Q       J1744-3116   14 47536.9041 128000.0  0.136223062873 0.000236110118662 
  58185.43138087963        Q "1331+305=3C286"   39 42814.0075  16000.0   1.36399018764  0.00105658635558 
  58185.43138087963        Q       J1733-1304   23 48768.9914 128000.0   1.10997986794  0.00111131626741 
  58185.43138087963        Q "1331+305=3C286"   48 43837.8036 128000.0   1.33303868771  0.00113534563893 
  58185.43138087963        Q       J1744-3116   16 47792.9041 128000.0  0.136672496796 0.000268292263269 
  58185.43138087963        Q       J1733-1304   40 42833.3071  16000.0   1.13486397266  0.00098259271606 
  58185.43138087963        Q       J1733-1304   59 45192.8416 128000.0   1.12633728981 0.000810779727369 
  58185.43138087963        Q       J1744-3116   39 42814.0075  16000.0  0.121914573014 0.000122676095558 
  58185.43138087963        Q "1331+305=3C286"   28 49280.9914 128000.0   1.19371271133  0.00143732439085 
  58185.43138087963        Q       J1733-1304   14 47536.9041 128000.0   1.11599302292  0.00090145125558 
  58185.43138087963        Q       J1744-3116   52 44296.8416 128000.0  0.127199217677 0.000141325156431 
  58185.43138087963        Q "1331+305=3C286"   41 42941.8036 128000.0   1.35603415966  0.00168138761638 
  58185.43138087963        Q       J1744-3116    9 46896.9041 128000.0  0.135448470712 0.000202754366591 
  58185.43138087963        Q "1331+305=3C286"   58 45064.8416 128000.0    1.3088735342  0.00114302133357 
  58185.43138087963        Q       J1733-1304   20 48367.2633  32000.0    1.1119209528  0.00102390570093 
  58185.43138087963        Q       J1744-3116   30 49536.9914 128000.0   0.10956813395 0.000587960232508 
  58185.43138087963        Q "1331+305=3C286"   55 44680.8416 128000.0   1.31837117672  0.00108106570464 
  58185.43138087963        Q       J1733-1304   37 42512.8158  16000.0   1.13667333126 0.000766039659037 
  58185.43138087963        Q       J1744-3116   45 43417.1245  32000.0  0.124140717089 0.000109209209425 
  58185.43138087963        Q "1331+305=3C286"    6 46512.9041 128000.0    1.2617470026  0.00112176858137 
  58185.43138087963        Q       J1733-1304   56 44808.8416 128000.0   1.12770521641 0.000810678902652 
  58185.43138087963        Q       J1744-3116   34 42301.8036 128000.0  0.120096251369 0.000104848765974 
  58185.43138087963        Q       J1733-1304   11 47152.9041 128000.0    1.1185259819 0.000923155548697 
  58185.43138087963        Q       J1733-1304   64 45832.8416 128000.0   1.12386965752 0.000876249294403 
  58185.43138087963        Q       J1744-3116   55 44680.8416 128000.0  0.128716468811 0.000136338093278 
  58185.43138087963        Q "1331+305=3C286"   44 43325.8036 128000.0   1.34795773029   0.0010993498023 
  58185.43138087963        Q       J1733-1304   30 49536.9914 128000.0   1.10654139519  0.00131036518402 
  58185.43138087963        Q       J1744-3116    4 46256.9041 128000.0  0.133715227246 0.000192985566064 
  58185.43138087963        Q "1331+305=3C286"   57 44936.8416 128000.0   1.30961692333  0.00108661845831 
  58185.43138087963        Q       J1733-1304   17 48128.9914 128000.0   1.11435461044 0.000909903592467 
  58185.43138087963        Q       J1744-3116   25 49024.9914 128000.0  0.128197029233 0.000428918877437 
  58185.43138087963        Q       J1733-1304   47 43709.8036 128000.0   1.13216078281 0.000811850362843 
  58185.43138087963        Q "1331+305=3C286"    8 46768.9041 128000.0   1.25262856483   0.0010810081126 
  58185.43138087963        Q       J1733-1304   34 42301.8036 128000.0   1.13835203648 0.000760961481573 
  58185.43138087963        Q       J1744-3116   40 42833.3071  16000.0  0.106616295874 0.000363734869599 
  58185.43138087963        Q "1331+305=3C286"    5 46384.9041 128000.0   1.26441180706  0.00113357881661 
  58185.43138087963        Q       J1733-1304   53 44424.8416 128000.0   1.12953305244 0.000849979432953 
  58185.43138087963        Q       J1744-3116   61 45427.6161  64000.0  0.130897238851 0.000178763268255 
  58185.43138087963        Q "1331+305=3C286"   22 48640.9914 128000.0   1.21099436283  0.00139915958124 
  58185.43138087963        Q       J1733-1304    8 46768.9041 128000.0   1.11927270889 0.000917820291338 
  58185.43138087963        Q       J1744-3116   50  44065.791  32000.0  0.126694872975 0.000142059386554 
  58185.43138087963        Q "1331+305=3C286"   35 42429.8036 128000.0   1.37414228916  0.00113621543846 
  58185.43138087963        Q       J1733-1304   27 49152.9914 128000.0   1.10862994194  0.00114975080946 
  58185.43138087963        Q       J1744-3116    7 46640.9041 128000.0  0.134947538376 0.000188574863018 
 58184.437571539354        Q "1331+305=3C286"   60 45320.8278 128000.0   1.29941082001  0.00112041500172 
 58184.437571539354        Q       J1744-3116   20  48367.248  32000.0  0.141086325049 0.000231541833323 
 58184.437571539354        Q       J1733-1304   44 43325.7902 128000.0   1.18449556828 0.000742876092275 
 58184.437571539354        Q "1331+305=3C286"   15 47664.8897 128000.0   1.23856806755   0.0012425924228 
 58184.437571539354        Q       J1733-1304   63 45704.8278 128000.0   1.17847466469 0.000811216791017 
 58184.437571539354        Q       J1744-3116   43 43197.7902 128000.0  0.117755614221  0.00025555187299 
 58184.437571539354        Q "1331+305=3C286"   24 48896.9761 128000.0   1.20522296429  0.00136555303367 
 58184.437571539354        Q       J1733-1304   50 44065.7772  32000.0   1.18236100674 0.000774246822352 
 58184.437571539354        Q       J1744-3116   56 44808.8278 128000.0  0.131594702601 9.95215966939e-05 
 58184.437571539354        Q "1331+305=3C286"   21 48512.9761 128000.0   1.21205615997  0.00168782574762 
 58184.437571539354        Q       J1733-1304    5 46384.8897 128000.0   1.17677485943 0.000764124744359 
 58184.437571539354        Q       J1744-3116   13 47408.8897 128000.0  0.140223965049 0.000149432189368 
 58184.437571539354        Q       J1744-3116   64 45832.8278 128000.0  0.135300427675 0.000132363727427 
 58184.437571539354        Q       J1733-1304   24 48896.9761 128000.0   1.16990506649 0.000982552910979 
 58184.437571539354        Q "1331+305=3C286"   51 44168.8278 128000.0   1.34543001652  0.00130749935379 
 58184.437571539354        Q       J1744-3116   23 48768.9761 128000.0  0.137407019734 0.000325916208559 
 58184.437571539354        Q       J1733-1304   41 42941.7902 128000.0   1.18481969833 0.000816701268033 
 58184.437571539354        Q "1331+305=3C286"    2 46128.8897 128000.0   1.17740011215 0.000795522576172 
 58184.437571539354        Q       J1733-1304   60 45320.8278 128000.0   1.17913782597 0.000791815123122 
 58184.437571539354        Q       J1744-3116   38 42685.7902 128000.0  0.118421748281 0.000221692493628 
 58184.437571539354        Q "1331+305=3C286"   31 49664.9761 128000.0   1.19070208073  0.00142513335485 
 58184.437571539354        Q       J1733-1304   15 47664.8897 128000.0    1.1734868288  0.00082185503564 
 58184.437571539354        Q       J1744-3116   59 45192.8278 128000.0  0.133005708456 0.000108897147002 
 58184.437571539354        Q "1331+305=3C286"   40 42833.2937  16000.0   1.35911393166  0.00138557690978 
 58184.437571539354        Q       J1733-1304    2 46128.8897 128000.0  0.135600730777 0.000146974502493 
 58184.437571539354        Q       J1744-3116    8 46768.8897 128000.0  0.138521641493 0.000130637114563 
 58184.437571539354        Q "1331+305=3C286"   37 42512.8025  16000.0   1.36695694923  0.00105666478769 
 58184.437571539354        Q       J1733-1304   21 48512.9761 128000.0   1.17049992085  0.00109807856443 
 58184.437571539354        Q       J1744-3116   29 49408.9761 128000.0  0.135046467185 0.000428733632125 
 58184.437571539354        Q "1331+305=3C286"   54 44552.8278 128000.0    1.3238209486  0.00114709880373 
 58184.437571539354        Q       J1744-3116   18 48256.9761 128000.0  0.139698877931  0.00024770714399 
 58184.437571539354        Q       J1733-1304   38 42685.7902 128000.0   1.18644309044 0.000796039944972 
 58184.437571539354        Q       J1744-3116   44 43325.7902 128000.0  0.126523867249 8.36137010819e-05 
 58184.437571539354        Q "1331+305=3C286"   64 45832.8278 128000.0   1.28371691704  0.00113975383548 
 58184.437571539354        Q       J1733-1304   57 44936.8278 128000.0   1.18026614189 0.000778744596472 
 58184.437571539354        Q       J1744-3116   33 42173.7902 128000.0  0.129115879536   0.0005121232663 
 58184.437571539354        Q "1331+305=3C286"   18 48256.9761 128000.0   1.22316837311  0.00128460868197 
 58184.437571539354        Q       J1733-1304   12 47280.8897 128000.0   1.17446732521  0.00082023713387 
 58184.437571539354        Q       J1744-3116   54 44552.8278 128000.0  0.130840584636 0.000102651353027 
 58184.437571539354        Q "1331+305=3C286"   47 43709.7902 128000.0   1.33749079704  0.00104788815807 
 58184.437571539354        Q       J1733-1304   31 49664.9761 128000.0   1.16787409782    0.001057278177 
 58184.437571539354        Q       J1744-3116   11 47152.8897 128000.0 0.0433772169054   0.0174943751697 
 58184.437571539354        Q "1331+305=3C286"   56 44808.8278 128000.0   1.31646478176  0.00111467819074 
 58184.437571539354        Q       J1733-1304   18 48256.9761 128000.0   1.17199075222 0.000863278883781 
 58184.437571539354        Q       J1744-3116   24 48896.9761 128000.0  0.138179883361 0.000325351556777 
 58184.437571539354        Q "1331+305=3C286"   53 44424.8278 128000.0   1.32811009884  0.00107402880393 
 58184.437571539354        Q "1331+305=3C286"   11 47152.8897 128000.0   1.32058274746  0.00307111583133 
 58184.437571539354        Q       J1733-1304   35 42429.7902 128000.0   1.18701863289 0.000733613678212 
 58184.437571539354        Q       J1744-3116   47 43709.7902 128000.0  0.127894148231 8.45330061082e-05 
 58184.437571539354        Q "1331+305=3C286"    4 46256.8897 128000.0   1.27413439751  0.00211214835753 
 58184.437571539354        Q       J1733-1304   54 44552.8278 128000.0   1.18162155151 0.000747761153004 
 58184.437571539354        Q       J1744-3116   60 45320.8278 128000.0  0.133461937308 0.000110058483643 
 58184.437571539354        Q "1331+305=3C286"   17 48128.9761 128000.0   1.23229336739  0.00130436404282 
 58184.437571539354        Q       J1733-1304    9 46896.8897 128000.0   1.17521631718 0.000771651844117 
 58184.437571539354        Q       J1744-3116   49 44040.8278 128000.0   0.12867590785 9.05509168582e-05 
 58184.437571539354        Q "1331+305=3C286"   34 42301.7902 128000.0   1.38041067123 0.000997647424611 
 58184.437571539354        Q       J1733-1304   28 49280.9761 128000.0   1.16873645782  0.00101381702588 
 58184.437571539354        Q       J1744-3116    6 46512.8897 128000.0  0.137639224529 0.000125854228999 
 58184.437571539354        Q "1331+305=3C286"   63 45704.8278 128000.0   1.28896021843  0.00120293375019 
 58184.437571539354        Q       J1744-3116   27 49152.9761 128000.0   0.13558831811 0.000376779323034 
 58184.437571539354        Q       J1733-1304   45 43417.1112  32000.0   1.18413305283 0.000749909790532 
 58184.437571539354        Q "1331+305=3C286"   14 47536.8897 128000.0   1.24078941345  0.00122607033914 
 58184.437571539354        Q       J1744-3116   42 43115.4589  16000.0  0.125631079078 7.71003572545e-05 
 58184.437571539354        Q "1331+305=3C286"   27 49152.9761 128000.0   1.19842493534  0.00135766512701 
 58184.437571539354        Q       J1733-1304   51 44168.8278 128000.0   1.18201053143 0.000834714284419 
 58184.437571539354        Q       J1744-3116   63 45704.8278 128000.0  0.134853735566 0.000119639172631 
 58184.437571539354        Q "1331+305=3C286"   20  48367.248  32000.0   1.21921181679  0.00133772932989 
 58184.437571539354        Q       J1733-1304    6 46512.8897 128000.0   1.17644679546 0.000798324297648 
 58184.437571539354        Q       J1744-3116   12 47280.8897 128000.0  0.139956459403 0.000154240779189 
 58184.437571539354        Q "1331+305=3C286"   33 42173.7902 128000.0   1.18515586853  0.00140561676002 
 58184.437571539354        Q       J1733-1304   25 49024.9761 128000.0    1.1700668335 0.000967743010113 
 58184.437571539354        Q "1331+305=3C286"   50 44065.7772  32000.0   1.33813154697  0.00111559569265 
 58184.437571539354        Q       J1744-3116   22 48640.9761 128000.0  0.138106718659 0.000285522085903 
 58184.437571539354        Q "1331+305=3C286"   38 42685.7902 128000.0   1.36719584465  0.00135073410532 
 58184.437571539354        Q       J1733-1304   42 43115.4589  16000.0   1.18513202667 0.000728115419945 
 58184.437571539354        Q "1331+305=3C286"   13 47408.8897 128000.0   1.24313616753  0.00122127494921 
 58184.437571539354        Q       J1733-1304   61 45427.6024  64000.0   1.17892503738 0.000774126697379 
 58184.437571539354        Q       J1744-3116   37 42512.8025  16000.0  0.124265536666 7.24950610811e-05 
 58184.437571539354        Q "1331+305=3C286"   30 49536.9761 128000.0   1.19162118435  0.00138937166061 
 58184.437571539354        Q       J1733-1304   48 43837.7902 128000.0   1.18304085732 0.000760206788905 
 58184.437571539354        Q       J1744-3116   58 45064.8278 128000.0  0.132601723075 0.000113189371333 
 58184.437571539354        Q "1331+305=3C286"   43 43197.7902 128000.0   1.34947824478  0.00137984624494 
 58184.437571539354        Q       J1733-1304    3 46115.5968   8000.0   1.17685461044 0.000775422296209 
 58184.437571539354        Q       J1744-3116   15 47664.8897 128000.0  0.140854418278 0.000184855552077 
 58184.437571539354        Q "1331+305=3C286"   36 42557.7902 128000.0   1.37119519711 0.000982244452512 
 58184.437571539354        Q       J1733-1304   22 48640.9761 128000.0   1.17086219788 0.000907831109162 
 58184.437571539354        Q       J1744-3116   28 49280.9761 128000.0  0.136067152023 0.000405577062293 
 58184.437571539354        Q "1331+305=3C286"   49 44040.8278 128000.0   1.33121049404  0.00104412795977 
 58184.437571539354        Q       J1744-3116   17 48128.9761 128000.0  0.140936881304  0.00018962995104 
 58184.437571539354        Q       J1733-1304   39 42813.9941  16000.0   1.18583762646 0.000725486088514 
 58184.437571539354        Q       J1733-1304   58 45064.8278 128000.0   1.18003976345  0.00080839149185 
 58184.437571539354        Q "1331+305=3C286"   29 49408.9761 128000.0   1.19454538822  0.00140647599734 
 58184.437571539354        Q       J1733-1304   13 47408.8897 128000.0   1.17419064045 0.000835173527238 
 58184.437571539354        Q       J1744-3116   53 44424.8278 128000.0  0.130277991295 9.69191341097e-05 
 58184.437571539354        Q "1331+305=3C286"   46 43581.7902 128000.0   1.34422159195  0.00121464080887 
 58184.437571539354        Q       J1744-3116   10 46986.8571   8000.0  0.139170914888 0.000151712754882 
 58184.437571539354        Q "1331+305=3C286"   59 45192.8278 128000.0   1.30423498154  0.00114635237085 
 58184.437571539354        Q       J1744-3116   31 49664.9761 128000.0  0.132631346583 0.000456800957305 
 58184.437571539354        Q "1331+305=3C286"   52 44296.8278 128000.0   1.33328092098  0.00111782433287 
 58184.437571539354        Q "1331+305=3C286"   10 46986.8571   8000.0   1.25314569473  0.00122903418396 
 58184.437571539354        Q       J1733-1304   36 42557.7902 128000.0   1.18663012981 0.000741106364002 
 58184.437571539354        Q       J1744-3116   46 43581.7902 128000.0   0.12585362792 0.000154438753314 
 58184.437571539354        Q "1331+305=3C286"    7 46640.8897 128000.0   1.26271986961   0.0012016777649 
